width,height,resolution_mp,entropy,edge_density,color_variance,laplacian_variance,file_size_bytes,optimal_quality,source_file
2040,1356,2.766,7.8099,0.10505,6517.685,2453.52,4434690,60,0346.png
2040,1800,3.672,7.7774,0.11219,5260.011,986.267,6262011,30,0347.png
2040,1260,2.57,7.3042,0.17053,4216.557,5009.491,4923980,30,0348.png
2040,1392,2.84,7.6886,0.1359,4162.909,721.357,5232961,30,0349.png
1116,2040,2.277,7.5865,0.07674,5251.787,1106.716,3598869,50,0350.png
2040,1356,2.766,7.7541,0.12276,5356.315,1270.484,5068883,60,0351.png
2040,888,1.812,7.5848,0.13691,4774.925,1066.115,3287750,40,0352.png
2040,1536,3.133,7.7414,0.10004,4440.871,1012.242,5103287,40,0353.png
2040,1356,2.766,7.7968,0.04245,4590.105,269.598,4485224,70,0354.png
2040,1356,2.766,7.5453,0.04383,2989.968,357.669,3284382,40,0355.png
2040,1272,2.595,7.6525,0.0925,3423.125,1430.963,4078228,50,0356.png
2040,1176,2.399,7.3561,0.09515,5944.921,1389.249,4098056,30,0357.png
2040,1356,2.766,7.3105,0.06975,4732.354,803.757,4491173,70,0358.png
2040,1356,2.766,7.7303,0.04051,3894.576,313.364,3021956,30,0359.png
2040,2004,4.088,6.5206,0.07244,1051.59,164.223,5658362,50,0360.png
1536,2040,3.133,7.8363,0.13897,5137.649,1658.583,5803401,40,0361.png
2040,1464,2.987,7.1757,0.05405,7679.863,661.047,4831313,80,0362.png
2040,1356,2.766,7.3876,0.17883,2665.364,2484.103,6051750,70,0363.png
2040,1356,2.766,6.0916,0.01225,6202.383,74.527,2862256,30,0364.png
2040,1212,2.472,7.2303,0.06058,5177.558,507.871,3349238,50,0365.png
2040,1356,2.766,7.2092,0.07382,3709.182,1009.376,5172952,80,0366.png
2040,1356,2.766,7.7011,0.05718,5034.498,261.153,3784729,30,0367.png
2040,1356,2.766,7.5514,0.03069,3941.863,209.151,2902139,30,0368.png
2040,1356,2.766,6.5032,0.09221,2645.401,1218.235,5087278,80,0369.png
2040,1356,2.766,7.2997,0.24419,3140.923,2864.478,6015598,30,0370.png
2040,1356,2.766,7.6154,0.06209,4510.363,751.707,3521573,40,0371.png
2040,1140,2.326,7.7324,0.2981,3276.145,11238.462,6064768,30,0372.png
1356,2040,2.766,6.5696,0.04897,2625.01,659.145,3510598,30,0373.png
1632,2040,3.329,7.2988,0.05069,4366.004,501.941,4681655,70,0374.png
1356,2040,2.766,7.3002,0.13388,5800.319,4188.144,4733756,30,0375.png
2040,1356,2.766,7.197,0.0089,2745.196,65.893,3274062,40,0376.png
2040,1356,2.766,7.5547,0.24556,3930.166,4219.884,6292877,40,0377.png
2040,1536,3.133,7.6359,0.11631,2834.929,619.736,5663515,70,0378.png
2040,1368,2.791,7.8281,0.07792,6731.765,591.376,3816559,50,0379.png
2040,1272,2.595,7.4611,0.18409,2783.546,2081.363,5309816,60,0380.png
2040,1452,2.962,7.6499,0.05967,6642.958,828.913,4042308,30,0381.png
2040,1356,2.766,7.7385,0.22862,5394.285,3656.35,5961353,30,0382.png
2040,1512,3.084,7.163,0.09971,2531.283,731.56,4736531,50,0383.png
2040,1356,2.766,7.3918,0.09403,5171.411,1294.218,4566116,70,0384.png
1440,2040,2.938,7.3019,0.09309,4328.396,2150.56,4777671,30,0385.png
2040,1356,2.766,7.6861,0.08763,4546.83,1982.069,3745080,40,0386.png
2040,972,1.983,7.418,0.11262,3159.147,821.593,3118027,50,0387.png
2040,1356,2.766,7.6679,0.13284,3938.896,845.151,4960805,40,0388.png
2040,1356,2.766,7.4384,0.04176,3983.961,401.82,2686439,30,0389.png
2040,1308,2.668,7.1935,0.13102,4511.434,2229.038,4227067,30,0390.png
2040,1356,2.766,7.4912,0.05608,4142.268,879.762,4283608,70,0391.png
2040,1152,2.35,7.7716,0.18054,6240.377,10402.25,5219864,50,0392.png
2040,1356,2.766,7.1873,0.06852,5233.117,1164.501,4143117,70,0393.png
2040,1536,3.133,7.8497,0.06489,4662.029,596.885,5057222,50,0394.png
2040,1356,2.766,7.6319,0.11605,2862.313,542.84,5064804,60,0395.png
2040,1356,2.766,7.7392,0.04407,5394.102,232.637,3387138,50,0396.png
2040,1260,2.57,7.2128,0.11022,2650.302,1012.634,4491558,60,0397.png
2040,1356,2.766,7.2556,0.11537,3701.591,987.033,4731229,60,0398.png
1356,2040,2.766,7.6446,0.12127,5085.174,2184.529,4108229,50,0399.png
2040,1284,2.619,5.9538,0.02432,1948.965,272.539,2857363,30,0400.png
2040,1356,2.766,7.1955,0.08119,6327.349,1082.006,3564496,30,0401.png
2040,1356,2.766,7.5691,0.05849,5303.563,539.829,4403636,50,0402.png
2040,1356,2.766,7.8016,0.05285,5624.803,297.715,4414607,50,0403.png
2040,1632,3.329,6.9152,0.09163,2332.829,1829.587,6074765,80,0404.png
2040,1356,2.766,7.5212,0.08732,4589.5,643.748,4108977,40,0405.png
1356,2040,2.766,7.5528,0.01353,3900.168,26.846,3178636,30,0406.png
2040,1356,2.766,7.7328,0.05702,4334.205,285.869,4480958,70,0407.png
2040,1464,2.987,7.4275,0.08175,2954.114,414.463,5113043,50,0408.png
2040,1368,2.791,7.6662,0.2022,4343.622,3962.715,6078835,30,0409.png
1356,2040,2.766,7.7689,0.05773,4106.214,461.388,4414326,60,0410.png
2040,1260,2.57,7.8369,0.14698,4218.084,1608.924,4712919,60,0411.png
2040,1356,2.766,7.6359,0.10523,4618.063,1493.923,5037017,50,0412.png
2040,1368,2.791,7.2652,0.15894,6251.582,1458.305,4361346,40,0413.png
1356,2040,2.766,7.6966,0.06417,5311.72,417.893,4162429,30,0414.png
1356,2040,2.766,7.7268,0.07802,6245.061,526.624,4209625,30,0415.png
2040,1356,2.766,7.3721,0.00575,2065.157,40.534,3158710,30,0416.png
2040,1356,2.766,7.7437,0.14575,3918.427,1416.973,5178547,40,0417.png
2040,1356,2.766,7.6826,0.08563,5133.59,929.857,4763429,60,0418.png
2040,1536,3.133,7.8093,0.01577,5530.824,78.637,4113201,30,0419.png
1536,2040,3.133,7.9236,0.18071,5680.662,1472.835,6218454,40,0420.png
1524,2040,3.109,7.2837,0.11639,7163.183,1523.359,5264108,30,0421.png
1356,2040,2.766,6.7507,0.02569,4916.307,188.592,2498909,30,0422.png
2040,1356,2.766,7.407,0.12368,2025.928,555.633,4935756,40,0423.png
2040,1356,2.766,7.7947,0.02201,3999.378,175.609,3353692,70,0424.png
2040,1356,2.766,5.2928,0.00709,1367.695,111.965,3265110,60,0425.png
2040,1164,2.375,7.9365,0.17497,5593.637,4087.254,5066544,50,0426.png
2040,1356,2.766,7.77,0.1105,4891.664,1066.554,4942043,70,0427.png
2040,1356,2.766,7.4143,0.04507,3156.955,456.248,4423820,80,0428.png
2040,1536,3.133,7.7291,0.07848,2986.792,350.166,5575487,60,0429.png
2040,1368,2.791,7.611,0.07039,3566.848,754.196,4290587,50,0430.png
2040,1356,2.766,6.9628,0.05599,4922.215,289.382,3409483,80,0431.png
2040,1356,2.766,7.7296,0.02467,3735.652,183.462,3544610,80,0432.png
2040,1356,2.766,7.4237,0.04606,3162.506,689.726,3874275,40,0433.png
2040,1224,2.497,7.6262,0.07636,3121.155,507.192,4240032,50,0434.png
2040,1356,2.766,7.0034,0.03532,5200.034,237.76,3491378,30,0435.png
2040,1356,2.766,6.7473,0.03446,2100.204,257.247,3691345,70,0436.png
2040,648,1.322,6.7141,0.05099,1853.752,649.259,1621531,30,0437.png
2040,1356,2.766,7.7511,0.19535,4882.494,3768.376,5996498,40,0438.png
2040,1392,2.84,7.7474,0.131,4901.751,1635.121,5031288,60,0439.png
2040,1356,2.766,7.7545,0.11588,4934.728,1349.652,5072607,40,0440.png
2040,1188,2.424,6.9377,0.06254,3262.792,1107.299,3671516,60,0441.png
2040,1356,2.766,5.3036,0.02475,956.394,246.18,4032594,90,0442.png
2040,1356,2.766,7.4352,0.28197,3784.629,4563.173,6404516,40,0443.png
2040,1356,2.766,7.4405,0.06208,3158.188,585.412,3428282,30,0444.png
2040,1356,2.766,7.6489,0.01621,4203.021,122.266,3249251,30,0445.png
2040,1356,2.766,7.8559,0.18917,4525.39,3715.702,5924185,50,0446.png
2040,1692,3.452,7.9135,0.12472,5416.48,2019.594,6071253,40,0447.png
2040,1536,3.133,7.6587,0.04933,4259.542,356.674,5063169,90,0448.png
1368,2040,2.791,7.5153,0.00871,5228.072,307.624,4103114,90,0449.png
2040,2040,4.162,7.1979,0.10078,4699.701,696.001,6962636,80,0450.png
1356,2040,2.766,7.4863,0.08636,4374.892,497.158,5019956,80,0451.png
2040,1428,2.913,6.954,0.04965,5447.191,928.41,3540425,30,0452.png
2040,1536,3.133,6.5011,0.05289,2075.219,397.789,5062494,80,0453.png
2040,1356,2.766,7.1816,0.08045,4507.724,1477.792,3340061,30,0454.png
2040,1128,2.301,7.2649,0.06497,3492.384,697.209,3325217,60,0455.png
2040,1356,2.766,7.481,0.03589,5695.093,185.073,3417978,30,0456.png
1164,2040,2.375,7.6532,0.08516,8367.29,1889.747,3224099,40,0457.png
2040,1356,2.766,7.584,0.02137,3244.581,216.775,3780278,70,0458.png
2040,1356,2.766,7.7396,0.04274,4320.021,272.547,4113191,40,0459.png
1944,2040,3.966,7.814,0.14063,3504.819,2359.753,6936383,40,0460.png
1440,2040,2.938,7.725,0.03266,4211.258,183.974,3906750,30,0461.png
2040,1356,2.766,7.5417,0.13394,3835.841,1825.629,4974025,40,0462.png
2040,1368,2.791,7.8435,0.17753,6097.611,3095.416,5303565,30,0463.png
2040,1356,2.766,7.1353,0.08899,5814.227,820.96,4359364,70,0464.png
2040,1152,2.35,7.551,0.07238,7973.652,492.16,3664200,40,0465.png
2040,1356,2.766,7.7136,0.12279,4977.721,1336.448,4738347,60,0466.png
1356,2040,2.766,7.738,0.02644,4310.713,105.34,3699174,40,0467.png
2040,1356,2.766,7.6771,0.06472,7724.809,460.925,4261767,40,0468.png
1356,2040,2.766,7.5331,0.01928,2907.183,181.085,3489343,30,0469.png
2040,1356,2.766,7.4193,0.15118,2667.312,1052.264,5511848,60,0470.png
2040,1356,2.766,7.6944,0.10335,7131.847,2463.453,5301693,70,0471.png
2040,1356,2.766,6.9487,0.04481,1606.822,192.391,4474892,60,0472.png
2040,1356,2.766,6.5481,0.0828,1817.213,938.152,3897371,40,0473.png
2040,1356,2.766,7.6969,0.04186,3982.782,238.936,3715752,30,0474.png
2040,1356,2.766,7.8455,0.07732,4440.617,618.869,4520433,50,0475.png
2040,1452,2.962,7.4082,0.16363,3851.661,3306.779,5065390,30,0476.png
2040,1356,2.766,7.8292,0.07553,6192.166,973.825,4673457,30,0477.png
2040,1356,2.766,6.0635,0.14942,3853.145,2974.269,4521632,40,0478.png
2040,1356,2.766,7.0498,0.08419,4587.02,469.156,4677879,40,0479.png
2040,1356,2.766,7.5245,0.03209,2902.177,334.452,3586079,30,0480.png
2040,1368,2.791,7.8656,0.09561,4732.658,739.184,3933932,50,0481.png
2040,1488,3.036,7.6051,0.13829,3834.661,1322.244,5818471,50,0482.png
2040,1356,2.766,7.6292,0.04067,4119.952,294.591,3502682,40,0483.png
2040,1356,2.766,7.7688,0.03944,4514.634,179.578,3904622,60,0484.png
2040,1356,2.766,7.6271,0.16602,3355.713,1523.861,5302287,50,0485.png
2040,1536,3.133,7.4836,0.06928,4510.775,755.356,4758653,60,0486.png
2040,1356,2.766,7.6368,0.19381,5348.85,3766.08,5743609,40,0487.png
1356,2040,2.766,7.1267,0.00153,1792.803,66.518,3259745,90,0488.png
2040,1536,3.133,7.8104,0.07633,6001.972,456.017,5015345,40,0489.png
2040,1356,2.766,6.9205,0.05431,2389.717,950.246,4224514,80,0490.png
2040,1368,2.791,7.4482,0.23497,4722.671,6165.294,5872800,40,0491.png
2040,1356,2.766,7.7149,0.18366,3858.344,2065.848,5268253,50,0492.png
2040,1356,2.766,6.6954,0.09733,5609.799,3995.705,3942618,30,0493.png
2040,1356,2.766,7.4848,0.01245,4359.525,125.698,3478446,40,0494.png
2040,1356,2.766,7.2959,0.0897,2040.585,768.383,4068902,30,0495.png
2040,1356,2.766,7.2502,0.05807,2497.301,460.151,3743277,40,0496.png
2040,1356,2.766,7.0043,0.07185,6084.22,635.832,4103098,80,0497.png
2040,1356,2.766,7.2103,0.04156,4238.498,403.561,2797715,30,0498.png
2040,1356,2.766,7.1133,0.08898,3603.397,422.708,4631790,40,0499.png
2040,2040,4.162,7.5022,0.08782,5111.944,1879.143,8003449,80,0500.png
2040,1356,2.766,7.4555,0.14472,3902.642,2455.986,5109041,30,0501.png
2040,1356,2.766,5.2143,0.0596,3149.737,679.96,3119670,30,0502.png
2040,1356,2.766,7.6075,0.09279,3455.231,859.54,4510512,40,0503.png
2040,1356,2.766,7.6416,0.11291,3303.598,398.619,4735781,40,0504.png
2040,1140,2.326,7.5815,0.16358,4512.404,5161.112,5480550,70,0505.png
2040,1356,2.766,7.054,0.11091,6267.986,963.221,4618453,50,0506.png
2040,1356,2.766,6.6915,0.00463,1808.683,33.26,1920296,30,0507.png
1368,2040,2.791,7.45,0.12585,8195.411,2285.982,4695830,30,0508.png
2040,1368,2.791,7.5159,0.06533,6751.88,418.159,3287850,30,0509.png
2040,1356,2.766,7.8148,0.12882,4635.2,1122.508,5026856,40,0510.png
2040,1152,2.35,7.8058,0.06561,6168.898,339.372,3922986,70,0511.png
2040,1452,2.962,7.6825,0.12423,3981.933,1522.148,4638863,40,0512.png
2040,2040,4.162,5.4385,0.01925,3700.799,239.069,4140364,50,0513.png
2040,1368,2.791,7.7903,0.12925,5155.684,1606.332,4822851,60,0514.png
2040,1356,2.766,7.6425,0.25705,3566.386,2766.528,6242435,40,0515.png
2040,1536,3.133,7.3886,0.15191,2507.435,1991.625,5610170,50,0516.png
2040,1536,3.133,7.5641,0.03753,3741.452,172.413,4474464,50,0517.png
2040,960,1.958,7.5431,0.08211,5335.633,735.736,3129925,50,0518.png
2040,1356,2.766,7.1013,0.03921,1561.757,154.882,3773420,60,0519.png
2040,1356,2.766,6.9031,0.06452,9227.88,1603.763,3779527,60,0520.png
1368,2040,2.791,7.4788,0.09927,4066.858,3122.507,3695570,30,0521.png
1356,2040,2.766,7.4595,0.01814,2892.918,152.683,3584641,50,0522.png
2040,888,1.812,7.6491,0.27216,3234.466,4308.953,4192913,40,0523.png
2040,1356,2.766,7.404,0.03914,4633.287,493.621,3759002,30,0524.png
2040,1356,2.766,7.3879,0.02035,4585.06,255.057,4056875,90,0525.png
2040,1356,2.766,7.5557,0.23916,3513.624,6895.138,6405103,40,0526.png
2040,1044,2.13,7.6582,0.0929,5406.16,1254.812,3247170,50,0527.png
2040,1536,3.133,7.6858,0.04575,5640.551,125.218,4762626,30,0528.png
2040,1356,2.766,7.4553,0.26784,4044.545,6529.131,6670662,40,0529.png
2040,1356,2.766,7.724,0.04042,3829.084,377.668,3682890,30,0530.png
2040,1536,3.133,7.6585,0.08187,5139.641,258.519,5628640,60,0531.png
1356,2040,2.766,7.5522,0.02045,5938.237,136.618,3238321,50,0532.png
2040,1356,2.766,6.9819,0.05126,2745.168,1044.96,2612980,30,0533.png
2040,1224,2.497,7.7295,0.0826,4894.611,900.868,3714342,70,0534.png
2040,1284,2.619,7.7459,0.13799,4899.058,2284.339,4467145,30,0535.png
2040,1356,2.766,7.5819,0.12251,3343.266,2394.006,4638479,40,0536.png
2040,1356,2.766,7.4064,0.15535,6963.521,3197.608,5517610,60,0537.png
2040,1356,2.766,6.4589,0.01646,2511.705,124.553,2961258,30,0538.png
2040,1368,2.791,7.6462,0.0487,4241.563,139.896,4068861,30,0539.png
2040,1356,2.766,7.7962,0.08162,4358.453,292.632,4401622,30,0540.png
2040,1368,2.791,7.7033,0.11576,6228.764,1614.953,4654479,40,0541.png
2040,1140,2.326,7.6663,0.23217,4189.635,2680.228,5326820,60,0542.png
1356,2040,2.766,6.9641,0.03163,9133.586,76.011,3114504,30,0543.png
2040,1356,2.766,6.8627,0.0158,1897.926,135.13,3399147,60,0544.png
1992,2040,4.064,7.7098,0.23893,3063.323,2188.096,9087262,40,0545.png
2040,1536,3.133,7.2983,0.0549,5707.69,579.33,4323771,80,0546.png
2040,1152,2.35,7.6969,0.10276,6525.655,1176.585,3879175,40,0547.png
2040,1356,2.766,6.3921,0.0623,8877.505,359.493,3198189,30,0548.png
2040,1356,2.766,7.685,0.2193,3034.717,1958.907,5929938,50,0549.png
2040,1224,2.497,7.4698,0.07849,3475.05,450.073,4183450,50,0550.png
2040,1356,2.766,7.1665,0.05833,2053.068,561.45,3756078,40,0551.png
2040,1356,2.766,5.715,0.01599,1405.216,99.897,2986909,30,0552.png
2040,1356,2.766,7.3069,0.15226,3802.683,2501.957,5270400,60,0553.png
2040,1332,2.717,7.7467,0.12198,4416.723,1028.213,4634624,40,0554.png
2040,1356,2.766,7.574,0.14783,3382.096,1289.945,5220502,50,0555.png
2040,1356,2.766,7.1493,0.10115,3817.372,1213.886,4288349,50,0556.png
2040,1152,2.35,6.8667,0.08309,5290.166,1165.866,3194610,50,0557.png
2040,1356,2.766,7.3745,0.05492,4133.042,679.954,4204904,60,0558.png
2040,1536,3.133,7.579,0.12574,3455.644,792.404,5989752,70,0559.png
2040,1092,2.228,7.3478,0.0407,4787.745,243.16,2231162,30,0560.png
2040,1176,2.399,7.2608,0.16784,6217.469,8283.953,4905841,30,0561.png
2040,1356,2.766,7.1211,0.09556,3674.132,9629.294,5442651,30,0562.png
2040,1356,2.766,7.7463,0.0878,5916.016,831.092,4463081,30,0563.png
2040,1608,3.28,7.6672,0.02754,4643.622,201.398,4019056,40,0564.png
1356,2040,2.766,6.6402,0.01914,4129.259,211.516,2808783,30,0565.png
2040,1368,2.791,7.7071,0.1775,3852.092,2444.648,5364701,50,0566.png
2040,1356,2.766,7.6525,0.06247,4485.416,384.851,4563415,80,0567.png
1824,2040,3.721,7.3824,0.08806,4319.423,1171.166,5714408,40,0568.png
2040,1356,2.766,6.8594,0.12174,2008.175,2374.619,4143209,40,0569.png
2040,1356,2.766,7.2834,0.04883,2727.97,380.852,3500369,30,0570.png
2040,1356,2.766,7.8017,0.08235,5680.94,427.746,4494987,40,0571.png
2040,1356,2.766,7.5905,0.13139,3323.275,669.83,5273498,40,0572.png
2040,1356,2.766,7.2127,0.03781,2203.236,149.784,4149272,60,0573.png
2040,1332,2.717,7.6789,0.14803,3237.163,3469.923,5521566,60,0574.png
2040,1356,2.766,7.5113,0.12394,4456.606,1800.373,5618845,80,0575.png
2040,1356,2.766,7.7499,0.08382,4968.936,612.252,4326978,50,0576.png
1344,2040,2.742,7.1504,0.1212,2079.129,2501.659,5461737,70,0577.png
2040,1248,2.546,6.5828,0.02544,4965.595,240.268,2238920,30,0578.png
2040,1152,2.35,7.7117,0.25621,6119.981,6845.971,5399973,30,0579.png
2040,1344,2.742,7.2845,0.087,3506.784,1422.947,3531645,40,0580.png
2040,1068,2.179,6.9456,0.05232,2509.998,481.233,2560095,40,0581.png
2040,1356,2.766,7.4689,0.16871,4897.919,1854.358,5117714,50,0582.png
2040,1188,2.424,7.1725,0.10951,2658.214,654.73,3453724,30,0583.png
2040,1356,2.766,7.5797,0.10668,4268.374,1053.306,4922218,60,0584.png
2040,1248,2.546,7.8493,0.16199,4379.558,1575.428,4922870,30,0585.png
1428,2040,2.913,7.4588,0.09202,5417.576,973.213,4381769,40,0586.png
2040,1368,2.791,6.0175,0.04447,2293.254,460.471,3076519,30,0587.png
2040,1356,2.766,7.6431,0.30365,3876.521,4877.768,6718645,30,0588.png
2040,1356,2.766,7.6692,0.14833,6932.969,1453.884,4706279,60,0589.png
1356,2040,2.766,7.5043,0.03318,4741.665,332.353,3280861,30,0590.png
2040,1212,2.472,7.2537,0.13275,2162.706,1516.574,4790222,60,0591.png
2040,1356,2.766,7.8887,0.14257,4585.717,768.08,5207093,40,0592.png
2040,1356,2.766,7.4658,0.11407,6569.228,1695.349,4585494,30,0593.png
2040,1356,2.766,7.7646,0.13086,3339.969,1276.562,5162495,60,0594.png
2040,1428,2.913,7.6737,0.08906,3317.361,700.101,4536716,60,0595.png
2040,1356,2.766,7.7898,0.0728,4641.277,399.966,4347876,40,0596.png
1356,2040,2.766,7.5005,0.04606,6385.282,190.391,3892450,40,0597.png
2040,1356,2.766,7.3339,0.01855,3864.674,95.938,3659839,30,0598.png
2040,1356,2.766,7.1776,0.0118,2079.435,67.276,3380996,30,0599.png
2040,1536,3.133,7.5448,0.0749,3713.453,729.199,4958002,30,0600.png
2040,1356,2.766,7.8138,0.0848,4869.962,347.072,4742802,30,0601.png
2040,1356,2.766,7.6667,0.11931,5569.1,2512.859,4871208,50,0602.png
1356,2040,2.766,7.6118,0.07518,5100.294,593.715,4530603,60,0603.png
2040,1356,2.766,7.7678,0.33448,3825.102,4382.951,6816031,30,0604.png
2040,1428,2.913,7.7514,0.07681,5020.5,701.801,3266107,30,0605.png
2040,1356,2.766,7.6077,0.21049,2933.071,2023.141,5877939,50,0606.png
2040,1356,2.766,7.724,0.13162,6318.423,1675.686,5001873,40,0607.png
1356,2040,2.766,7.3956,0.0883,5405.908,928.829,4105502,60,0608.png
2040,1356,2.766,7.6332,0.08818,3397.949,597.007,4385001,60,0609.png
2040,1440,2.938,7.4913,0.00866,5397.598,33.031,3277534,30,0610.png
2040,1356,2.766,7.1655,0.12107,5119.5,1444.753,4460234,40,0611.png
2040,1188,2.424,7.6942,0.10841,3742.593,689.24,4067605,50,0612.png
2040,1584,3.231,7.4086,0.15792,2583.357,1896.777,6118425,50,0613.png
1356,2040,2.766,7.4565,0.07896,4859.597,1038.193,4029260,30,0614.png
1356,2040,2.766,7.6535,0.07156,6136.227,297.967,4120119,40,0615.png
2040,1368,2.791,7.4116,0.06378,2930.943,237.346,4420646,60,0616.png
2040,1356,2.766,7.7488,0.14247,4990.674,2882.486,5046396,50,0617.png
2040,1356,2.766,6.0258,0.01972,4236.333,32.957,3131159,30,0618.png
2040,1524,3.109,7.7235,0.06246,5309.054,364.832,4788139,60,0619.png
2040,1356,2.766,7.7191,0.0681,7020.742,1000.875,4439502,70,0620.png
2040,1356,2.766,7.634,0.13098,5880.752,2036.737,5196302,50,0621.png
2040,1452,2.962,7.0233,0.04397,2492.781,317.315,4038759,50,0622.png
2040,1356,2.766,7.6485,0.14244,4536.46,1998.098,5416601,50,0623.png
1356,2040,2.766,7.5372,0.07223,3441.52,553.007,4783895,70,0624.png
1356,2040,2.766,7.583,0.1489,6317.527,4427.66,5264292,40,0625.png
2040,1356,2.766,6.9894,0.07867,2391.815,576.168,4295190,40,0626.png
2040,864,1.763,7.4871,0.11441,4185.168,1402.533,2377353,30,0627.png
1632,2040,3.329,7.4351,0.21198,2533.99,1948.023,7114652,60,0628.png
2040,1464,2.987,6.2257,0.04683,1900.15,663.699,4264476,50,0629.png
2040,1356,2.766,6.9772,0.11087,3465.042,737.313,4522620,60,0630.png
2040,1356,2.766,6.9578,0.02974,3703.115,227.092,2886053,30,0631.png
2040,1356,2.766,6.6247,0.03658,1983.347,574.425,4855923,90,0632.png
2040,1356,2.766,6.1301,0.02476,5824.134,188.544,3403562,30,0633.png
2040,1356,2.766,7.7819,0.11306,7459.694,817.03,4764527,40,0634.png
2040,1368,2.791,7.6824,0.06349,4955.662,709.305,3996304,30,0635.png
2040,1356,2.766,7.8114,0.12341,6104.932,1848.16,4744465,50,0636.png
2040,1536,3.133,6.6944,0.00498,2448.887,39.525,3662200,30,0637.png
2040,1356,2.766,6.846,0.11238,7220.502,3543.048,4544850,30,0638.png
2040,1356,2.766,7.9344,0.19948,4904.507,2997.787,5983174,30,0639.png
2040,1356,2.766,7.5964,0.07799,3818.652,1167.611,5289713,80,0640.png
2040,1356,2.766,7.5783,0.11699,4146.738,1681.01,5074590,50,0641.png
2040,1356,2.766,7.2501,0.07883,1842.716,732.528,4517506,50,0642.png
2040,1536,3.133,6.2579,0.10485,5159.836,1995.35,4177476,30,0643.png
2040,1356,2.766,7.3404,0.06119,2683.689,252.929,4504928,40,0644.png
2040,1356,2.766,7.2416,0.05711,4829.988,522.703,4651508,40,0645.png
2040,1476,3.011,6.7713,0.00956,5492.384,93.549,3256257,30,0646.png
2040,1356,2.766,7.6665,0.07122,3085.243,283.686,4437606,30,0647.png
2040,1356,2.766,7.2191,0.09011,3366.751,1111.545,4703200,70,0648.png
2040,1536,3.133,7.8802,0.10335,5353.428,324.276,5580354,30,0649.png
2040,1452,2.962,5.1548,0.06115,3736.352,861.955,2840108,30,0650.png
2040,1224,2.497,6.6528,0.07333,1176.0,311.453,4212811,50,0651.png
2040,1356,2.766,7.6875,0.06274,3661.236,484.582,4209786,70,0652.png
2040,1584,3.231,7.6896,0.22022,4046.815,3105.794,6885992,40,0653.png
2040,1344,2.742,7.3162,0.04768,4061.054,488.258,3850771,50,0654.png
2040,1356,2.766,7.5248,0.07475,2772.286,588.403,4528786,80,0655.png
2040,1320,2.693,7.7044,0.07173,5161.798,547.941,4415133,30,0656.png
2040,1536,3.133,7.8913,0.14092,5551.926,1799.56,5808780,40,0657.png
2040,1356,2.766,7.7158,0.0874,4860.375,1287.77,3688772,30,0658.png
2040,1356,2.766,7.7863,0.22036,4055.983,4163.37,6203241,40,0659.png
2040,1356,2.766,7.8567,0.03984,4865.348,80.605,4162397,30,0660.png
2040,1296,2.644,5.5715,0.09572,4157.013,607.636,3767685,50,0661.png
2040,1356,2.766,5.7094,0.02859,2339.75,541.386,3812284,80,0662.png
2040,1356,2.766,7.7533,0.08792,3861.544,1533.053,4577725,60,0663.png
2040,1632,3.329,6.5228,0.0387,995.529,192.076,5443404,70,0664.png
2040,1356,2.766,7.5915,0.05651,3178.105,195.712,4394375,70,0665.png
1476,2040,3.011,5.4319,0.02953,1563.796,293.357,2453341,30,0666.png
2040,1356,2.766,7.8575,0.13821,4930.395,1187.824,4714397,40,0667.png
2040,1356,2.766,7.8246,0.1279,4355.006,896.234,4772975,40,0668.png
2040,1536,3.133,7.8657,0.04411,4208.862,192.277,5235599,60,0669.png
1356,2040,2.766,6.7708,0.03951,3760.647,384.939,3801981,40,0670.png
2040,1356,2.766,7.7346,0.24438,4284.651,5497.577,6577634,40,0671.png
2040,1308,2.668,7.5618,0.07788,7609.836,1656.58,4421689,50,0672.png
2040,1152,2.35,7.69,0.07206,6192.81,559.24,3262037,30,0673.png
2040,1356,2.766,7.6475,0.06666,3771.559,367.818,3745066,30,0674.png
2040,1356,2.766,7.3642,0.08668,2300.595,1293.057,4209756,40,0675.png
2040,1344,2.742,7.7361,0.16111,4342.012,2192.823,4647847,40,0676.png
2040,1380,2.815,6.5903,0.03499,1994.011,637.157,3420297,30,0677.png
2040,1452,2.962,7.1312,0.11775,3825.379,2572.087,5189965,70,0678.png
2040,1464,2.987,7.4089,0.05521,3177.408,620.35,4447027,60,0679.png
2040,1212,2.472,7.8535,0.07784,5573.65,1060.682,3993194,80,0680.png
2040,1356,2.766,7.7908,0.1474,3697.724,863.517,5157788,50,0681.png
2040,1368,2.791,7.6514,0.16972,5257.089,1592.535,4418075,50,0682.png
2040,1356,2.766,7.6526,0.06137,3509.112,517.326,4391186,50,0683.png
2040,1356,2.766,7.4157,0.13451,4109.112,1730.676,4986137,50,0684.png
2040,1080,2.203,7.5381,0.06952,4315.865,546.542,3458153,50,0685.png
2040,1356,2.766,7.8106,0.17108,5604.8,2198.916,5588899,40,0686.png
2040,1536,3.133,7.698,0.06542,5176.148,822.838,5196409,30,0687.png
2040,1356,2.766,7.2287,0.01579,2664.425,67.864,3664427,40,0688.png
2040,1356,2.766,6.6963,0.03695,2735.267,353.539,3788851,30,0689.png
1356,2040,2.766,7.141,0.07151,2786.629,328.623,4543178,70,0690.png
2040,1356,2.766,7.6612,0.07359,6452.128,929.126,4077397,50,0691.png
